satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,sales,salary,left
0.11,0.89,7,257,4,No accident,No promotion,technical,low,Yes
0.44,0.53,2,147,3,No accident,No promotion,technical,low,Yes
0.87,0.9,3,307,5,No accident,No promotion,technical,low,Yes
0.44,0.46,2,154,3,No accident,No promotion,technical,low,Yes
0.41,0.56,2,143,3,No accident,No promotion,technical,low,Yes
0.51,0.79,4,134,3,No accident,No promotion,technical,low,Yes
0.89,0.96,5,221,5,No accident,No promotion,technical,low,Yes
0.1,0.96,6,275,4,No accident,No promotion,technical,low,Yes
0.9,0.94,5,247,5,No accident,No promotion,technical,low,Yes
0.36,0.55,2,131,3,No accident,No promotion,technical,low,Yes
0.44,0.54,2,150,3,No accident,No promotion,support,low,Yes
0.39,0.57,2,150,3,No accident,No promotion,support,low,Yes
0.38,1,5,137,4,No accident,No promotion,support,low,Yes
0.73,0.95,4,223,6,No accident,No promotion,support,low,Yes
0.1,0.96,6,292,4,No accident,No promotion,support,medium,Yes
0.89,0.83,5,130,4,Accident,No promotion,support,medium,Yes
0.87,0.85,5,221,6,No accident,No promotion,support,medium,Yes
0.84,0.89,4,245,5,Accident,No promotion,support,medium,Yes
0.11,0.77,6,274,4,No accident,No promotion,support,medium,Yes
0.74,1,5,248,5,No accident,No promotion,support,medium,Yes
0.79,0.97,4,243,5,No accident,No promotion,support,medium,Yes
0.1,0.92,7,273,4,No accident,No promotion,technical,medium,Yes
0.83,0.95,5,221,5,No accident,No promotion,technical,medium,Yes
0.1,0.79,6,271,4,No accident,No promotion,technical,medium,Yes
0.45,0.5,2,157,3,No accident,No promotion,management,medium,Yes
0.29,0.48,2,249,4,No accident,No promotion,IT,medium,Yes
0.46,0.46,2,145,3,No accident,No promotion,IT,high,Yes
0.11,0.83,6,262,5,No accident,No promotion,IT,low,Yes
0.75,0.89,5,272,5,No accident,No promotion,IT,medium,Yes
0.4,0.5,2,129,3,No accident,No promotion,IT,medium,Yes
0.37,0.46,2,134,3,No accident,No promotion,product_mng,medium,Yes
0.41,0.52,2,147,3,No accident,No promotion,product_mng,medium,Yes
0.1,0.83,6,293,4,No accident,No promotion,product_mng,low,Yes
0.39,0.52,2,129,3,No accident,No promotion,product_mng,low,Yes
0.4,0.45,2,140,3,No accident,No promotion,IT,low,Yes
0.41,0.52,2,132,3,No accident,No promotion,RandD,low,Yes
0.11,0.89,6,284,4,No accident,No promotion,RandD,low,Yes
0.74,0.99,5,263,5,No accident,No promotion,RandD,low,Yes
0.42,0.46,2,143,3,No accident,No promotion,RandD,low,Yes
0.88,0.88,4,265,5,No accident,No promotion,RandD,low,Yes
0.37,0.53,2,147,3,No accident,No promotion,RandD,low,Yes
0.78,0.81,4,253,5,No accident,No promotion,marketing,low,Yes
0.46,0.5,2,141,3,No accident,No promotion,sales,low,Yes
0.74,1,5,222,6,No accident,No promotion,accounting,low,Yes
0.11,0.86,6,273,4,Accident,No promotion,support,low,Yes
0.8,0.87,5,240,6,No accident,No promotion,technical,low,Yes
0.37,0.48,2,154,3,No accident,No promotion,management,low,Yes
0.87,0.92,4,253,6,No accident,No promotion,marketing,low,Yes
0.9,0.84,5,221,5,No accident,No promotion,marketing,low,Yes
0.1,0.88,6,263,4,No accident,No promotion,marketing,low,Yes
0.43,0.46,2,145,3,No accident,No promotion,sales,low,Yes
0.11,0.91,6,279,4,No accident,No promotion,sales,low,Yes
0.4,0.46,2,146,3,No accident,No promotion,sales,low,Yes
0.09,0.93,7,270,4,No accident,No promotion,sales,medium,Yes
0.4,0.5,2,135,3,No accident,No promotion,sales,medium,Yes
0.14,0.7,5,236,3,No accident,No promotion,sales,medium,Yes
0.4,0.49,2,151,3,No accident,No promotion,sales,medium,Yes
0.11,0.79,6,244,4,Accident,No promotion,sales,medium,Yes
0.72,1,4,169,3,No accident,No promotion,sales,medium,Yes
0.39,0.57,2,157,3,No accident,No promotion,sales,medium,Yes
0.82,0.93,4,246,5,No accident,No promotion,sales,medium,Yes
0.41,0.52,2,142,3,No accident,No promotion,sales,medium,Yes
0.45,0.51,2,156,3,No accident,No promotion,sales,medium,Yes
0.2,0.7,6,281,5,No accident,No promotion,sales,medium,Yes
0.43,0.53,2,146,3,No accident,No promotion,sales,medium,Yes
0.39,0.55,2,156,3,No accident,No promotion,sales,high,Yes
0.11,0.86,6,299,4,Accident,No promotion,sales,low,Yes
0.45,0.47,2,136,3,No accident,No promotion,sales,medium,Yes
0.11,0.87,6,272,4,No accident,No promotion,sales,medium,Yes
0.84,0.86,5,240,5,No accident,No promotion,accounting,medium,Yes
0.86,0.96,5,245,6,No accident,No promotion,accounting,medium,Yes
0.79,0.93,5,269,5,No accident,No promotion,accounting,low,Yes
0.39,0.57,2,130,3,No accident,No promotion,hr,low,Yes
0.15,0.62,4,257,3,No accident,No promotion,hr,low,Yes
0.81,1,4,241,5,No accident,No promotion,hr,low,Yes
0.39,0.53,2,136,3,No accident,No promotion,hr,low,Yes
0.92,0.94,4,219,5,No accident,No promotion,technical,low,Yes
0.9,0.98,5,271,5,No accident,No promotion,technical,low,Yes
0.32,0.6,2,280,4,No accident,No promotion,technical,low,Yes
0.46,0.46,2,140,3,No accident,No promotion,technical,low,Yes
0.83,0.98,4,254,5,No accident,No promotion,technical,low,Yes
0.39,0.47,2,131,3,No accident,No promotion,technical,low,Yes
0.2,0.9,6,138,3,No accident,No promotion,technical,low,Yes
0.11,0.85,6,295,4,No accident,No promotion,technical,low,Yes
0.11,0.96,6,301,5,No accident,No promotion,technical,low,Yes
0.1,0.95,7,296,4,No accident,No promotion,technical,low,Yes
0.75,0.87,5,246,5,No accident,No promotion,technical,low,Yes
0.44,0.57,2,145,3,No accident,No promotion,support,low,Yes
0.86,0.93,5,241,5,Accident,No promotion,support,low,Yes
0.1,0.82,6,269,4,No accident,No promotion,support,low,Yes
0.39,0.49,2,146,3,No accident,No promotion,support,low,Yes
0.45,0.48,2,149,3,No accident,No promotion,support,low,Yes
0.1,0.94,7,287,4,No accident,No promotion,support,medium,Yes
0.36,0.55,2,138,3,No accident,No promotion,support,medium,Yes
0.57,0.61,4,158,5,No accident,No promotion,support,medium,Yes
0.09,0.87,6,266,4,No accident,No promotion,support,medium,Yes
0.87,0.91,4,255,5,No accident,No promotion,support,medium,Yes
0.43,0.52,2,156,3,No accident,No promotion,support,medium,Yes
0.36,0.5,2,147,3,No accident,No promotion,technical,medium,Yes
0.91,0.99,5,265,5,Accident,No promotion,technical,medium,Yes
0.41,0.48,2,136,3,No accident,No promotion,technical,medium,Yes
0.37,0.52,2,140,3,No accident,No promotion,management,medium,Yes
0.43,0.45,2,146,3,No accident,No promotion,IT,medium,Yes
0.43,0.57,2,142,3,No accident,No promotion,IT,medium,Yes
0.4,0.53,2,155,3,No accident,No promotion,IT,high,Yes
0.1,0.89,7,285,4,No accident,No promotion,IT,low,Yes
0.76,0.99,4,253,5,Accident,No promotion,IT,medium,Yes
0.82,0.93,4,248,5,No accident,No promotion,product_mng,medium,Yes
0.11,0.83,7,255,5,No accident,No promotion,product_mng,medium,Yes
0.43,0.52,2,154,3,Accident,No promotion,product_mng,medium,Yes
0.11,0.88,7,305,4,No accident,No promotion,product_mng,low,Yes
0.41,0.48,2,141,3,No accident,No promotion,IT,low,Yes
0.73,0.87,5,252,5,No accident,No promotion,RandD,low,Yes
0.37,0.57,2,157,3,No accident,No promotion,RandD,low,Yes
0.11,0.89,6,250,4,No accident,No promotion,RandD,low,Yes
0.46,0.52,2,131,3,No accident,No promotion,RandD,low,Yes
0.41,0.5,2,149,3,No accident,No promotion,RandD,low,Yes
0.78,0.78,4,260,5,No accident,No promotion,RandD,low,Yes
0.78,0.86,5,260,6,No accident,No promotion,marketing,low,Yes
0.72,0.86,5,251,5,No accident,No promotion,sales,low,Yes
0.63,0.83,6,242,5,No accident,No promotion,accounting,low,Yes
0.55,1,6,136,3,No accident,No promotion,support,low,Yes
0.45,0.55,2,155,3,No accident,No promotion,technical,low,Yes
0.39,0.51,2,155,3,No accident,No promotion,management,low,Yes
0.1,0.81,6,248,4,No accident,No promotion,marketing,low,Yes
0.4,0.5,2,136,3,No accident,No promotion,marketing,low,Yes
0.39,0.54,2,133,3,No accident,No promotion,marketing,low,Yes
0.78,0.45,4,128,2,No accident,No promotion,sales,low,Yes
0.42,0.53,2,142,3,No accident,No promotion,sales,low,Yes
0.39,0.54,2,149,3,No accident,No promotion,sales,low,Yes
0.46,0.57,2,145,3,No accident,No promotion,sales,low,Yes
0.1,0.92,6,279,4,No accident,No promotion,sales,medium,Yes
0.45,0.47,2,146,3,No accident,No promotion,sales,medium,Yes
0.1,0.83,6,264,4,Accident,No promotion,sales,medium,Yes
0.1,0.89,7,272,4,No accident,No promotion,sales,medium,Yes
0.78,0.86,5,256,5,No accident,No promotion,sales,medium,Yes
0.4,0.65,2,296,5,No accident,No promotion,sales,medium,Yes
0.45,0.51,2,155,3,Accident,No promotion,sales,medium,Yes
0.39,0.56,2,130,3,No accident,No promotion,sales,medium,Yes
0.43,0.48,2,157,3,No accident,No promotion,sales,medium,Yes
0.09,0.96,6,245,4,No accident,No promotion,sales,medium,Yes
0.79,0.86,5,226,5,No accident,No promotion,sales,medium,Yes
0.44,0.47,2,156,3,Accident,No promotion,sales,medium,Yes
0.79,0.95,5,228,5,No accident,No promotion,sales,high,Yes
0.38,0.46,2,155,3,No accident,No promotion,sales,low,Yes
0.36,0.56,2,159,3,No accident,No promotion,sales,medium,Yes
0.39,0.57,2,142,3,No accident,No promotion,accounting,medium,Yes
0.09,0.93,6,271,4,No accident,No promotion,accounting,medium,Yes
0.16,0.65,4,277,5,No accident,No promotion,accounting,medium,Yes
0.09,0.77,6,310,4,No accident,No promotion,hr,low,Yes
0.11,0.87,6,254,4,No accident,No promotion,hr,low,Yes
0.44,0.56,2,142,3,No accident,No promotion,hr,low,Yes
0.11,0.88,7,253,4,No accident,No promotion,hr,low,Yes
0.11,0.97,6,260,4,No accident,No promotion,technical,low,Yes
0.45,0.52,2,147,3,No accident,No promotion,technical,low,Yes
0.1,0.96,7,288,4,No accident,No promotion,technical,low,Yes
0.4,0.46,2,160,3,No accident,No promotion,technical,low,Yes
0.38,0.55,2,130,3,No accident,No promotion,technical,low,Yes
0.39,0.56,2,133,3,No accident,No promotion,technical,low,Yes
0.38,0.55,2,160,3,No accident,No promotion,technical,low,Yes
0.38,0.45,2,151,3,No accident,No promotion,technical,low,Yes
0.17,0.75,3,188,4,No accident,No promotion,technical,low,Yes
0.79,0.84,5,247,5,No accident,No promotion,technical,low,Yes
0.1,0.85,7,259,4,No accident,No promotion,technical,low,Yes
0.37,0.48,2,129,3,No accident,No promotion,support,low,Yes
0.42,0.49,2,152,3,No accident,No promotion,support,low,Yes
0.44,0.48,2,128,3,No accident,No promotion,support,low,Yes
0.11,0.83,6,253,4,No accident,No promotion,support,low,Yes
0.39,0.48,2,151,3,No accident,No promotion,support,low,Yes
0.1,0.83,5,271,5,No accident,No promotion,support,low,Yes
0.4,0.46,2,155,3,No accident,No promotion,support,medium,Yes
0.86,0.91,5,245,5,No accident,No promotion,support,medium,Yes
0.37,0.46,2,157,3,No accident,No promotion,support,medium,Yes
0.4,0.51,2,160,3,No accident,No promotion,support,medium,Yes
0.43,0.48,2,149,3,No accident,No promotion,support,medium,Yes
0.88,0.88,5,248,5,No accident,No promotion,technical,medium,Yes
0.44,0.52,2,128,3,No accident,No promotion,technical,medium,Yes
0.87,1,4,224,5,No accident,No promotion,technical,medium,Yes
0.4,0.46,2,156,3,No accident,No promotion,management,medium,Yes
0.45,0.52,2,143,3,No accident,No promotion,IT,medium,Yes
0.84,0.93,4,250,5,No accident,No promotion,IT,medium,Yes
0.1,0.68,3,179,3,No accident,No promotion,IT,medium,Yes
0.72,0.99,5,257,5,No accident,No promotion,IT,high,Yes
0.4,0.5,2,127,3,No accident,No promotion,IT,low,Yes
0.45,0.5,2,145,3,No accident,No promotion,product_mng,medium,Yes
0.89,0.98,5,274,5,No accident,No promotion,product_mng,medium,Yes
0.4,0.55,2,131,3,No accident,No promotion,product_mng,medium,Yes
0.38,0.53,2,136,3,No accident,No promotion,product_mng,medium,Yes
0.38,0.47,2,140,3,Accident,No promotion,IT,low,Yes
0.1,0.82,7,265,4,No accident,No promotion,RandD,low,Yes
0.42,0.48,2,148,3,Accident,No promotion,RandD,low,Yes
0.74,0.86,5,262,5,No accident,No promotion,RandD,low,Yes
0.1,0.8,6,261,4,No accident,No promotion,RandD,low,Yes
0.82,0.9,5,248,5,No accident,No promotion,RandD,low,Yes
0.38,0.55,2,131,3,No accident,No promotion,marketing,low,Yes
0.41,0.56,2,160,3,No accident,No promotion,sales,low,Yes
0.4,0.47,2,152,3,No accident,No promotion,accounting,low,Yes
0.83,0.98,4,249,5,No accident,No promotion,support,low,Yes
0.36,0.57,2,144,3,No accident,No promotion,technical,low,Yes
0.75,0.98,4,245,5,No accident,No promotion,management,low,Yes
0.44,0.53,2,146,3,No accident,No promotion,marketing,low,Yes
0.1,0.94,6,297,5,No accident,No promotion,marketing,low,Yes
0.39,0.52,2,148,3,Accident,No promotion,marketing,low,Yes
0.09,0.84,7,260,4,No accident,No promotion,sales,low,Yes
0.4,0.57,2,152,3,No accident,No promotion,sales,low,Yes
0.41,0.54,2,135,3,No accident,No promotion,sales,low,Yes
0.83,0.92,4,235,5,No accident,No promotion,sales,low,Yes
0.42,0.47,2,145,3,No accident,No promotion,sales,low,Yes
0.61,0.46,5,220,4,No accident,No promotion,sales,low,Yes
0.44,0.52,2,128,3,No accident,No promotion,sales,medium,Yes
0.77,0.81,5,237,5,No accident,No promotion,sales,medium,Yes
0.81,0.95,4,275,5,No accident,No promotion,sales,medium,Yes
0.1,0.78,6,310,4,No accident,No promotion,sales,medium,Yes
0.73,0.84,5,251,6,No accident,No promotion,sales,medium,Yes
0.09,0.83,6,250,4,No accident,No promotion,sales,medium,Yes
0.9,0.99,4,259,6,No accident,No promotion,sales,medium,Yes
0.88,1,4,259,5,No accident,No promotion,sales,medium,Yes
0.09,0.87,7,305,4,No accident,No promotion,sales,medium,Yes
0.4,0.56,2,130,3,Accident,No promotion,sales,medium,Yes
0.17,0.55,6,250,5,No accident,No promotion,sales,medium,Yes
0.82,0.82,5,220,6,No accident,No promotion,sales,medium,Yes
0.9,0.83,4,266,5,No accident,No promotion,sales,high,Yes
0.83,0.92,4,255,5,No accident,No promotion,accounting,low,Yes
0.44,0.5,2,154,3,No accident,No promotion,accounting,medium,Yes
0.5,0.85,4,138,3,No accident,No promotion,accounting,medium,Yes
0.14,0.61,6,291,5,No accident,No promotion,hr,medium,Yes
0.77,0.82,4,217,5,No accident,No promotion,hr,medium,Yes
0.09,0.83,6,286,4,No accident,No promotion,hr,low,Yes
0.11,0.88,6,290,4,No accident,No promotion,hr,low,Yes
0.44,0.57,2,148,3,No accident,No promotion,technical,low,Yes
0.43,0.52,2,146,3,No accident,No promotion,technical,low,Yes
0.12,0.8,5,136,2,No accident,No promotion,technical,low,Yes
0.1,0.86,7,261,5,No accident,No promotion,technical,low,Yes
0.1,0.96,6,274,4,No accident,No promotion,technical,low,Yes
0.4,0.48,2,132,3,No accident,No promotion,technical,low,Yes
0.41,0.47,2,145,3,No accident,No promotion,technical,low,Yes
0.37,0.48,2,153,3,No accident,No promotion,technical,low,Yes
0.4,0.48,2,139,3,No accident,No promotion,technical,low,Yes
0.74,0.96,4,231,5,No accident,No promotion,technical,low,Yes
0.39,0.48,2,154,3,No accident,No promotion,technical,low,Yes
0.11,0.9,5,307,4,No accident,No promotion,support,low,Yes
0.36,0.51,2,129,3,No accident,No promotion,support,low,Yes
0.8,0.83,5,275,5,No accident,No promotion,support,low,Yes
0.6,0.85,3,250,2,No accident,No promotion,support,low,Yes
0.36,0.54,2,158,3,No accident,No promotion,support,low,Yes
0.1,0.96,6,310,5,No accident,No promotion,support,low,Yes
0.65,0.86,2,181,2,No accident,No promotion,support,low,Yes
0.49,0.73,4,244,3,No accident,No promotion,support,low,Yes
0.73,0.96,5,256,6,Accident,No promotion,support,medium,Yes
0.11,0.8,6,259,5,No accident,No promotion,support,medium,Yes
0.73,0.91,4,247,5,No accident,No promotion,support,medium,Yes
0.43,0.46,2,129,3,No accident,No promotion,technical,medium,Yes
0.73,0.93,5,229,5,No accident,No promotion,technical,medium,Yes
0.76,0.85,5,236,6,No accident,No promotion,technical,medium,Yes
0.09,0.96,6,281,4,No accident,No promotion,management,medium,Yes
0.9,0.81,5,264,5,No accident,No promotion,IT,medium,Yes
0.1,0.81,6,308,4,No accident,No promotion,IT,medium,Yes
0.43,0.48,2,147,3,No accident,No promotion,IT,medium,Yes
0.41,0.55,2,159,3,No accident,No promotion,IT,medium,Yes
0.41,0.57,2,154,3,No accident,No promotion,IT,medium,Yes
0.1,0.87,6,307,4,No accident,No promotion,product_mng,high,Yes
0.4,0.46,2,132,3,No accident,No promotion,product_mng,low,Yes
0.4,0.53,2,152,3,No accident,No promotion,product_mng,medium,Yes
0.36,0.48,5,310,3,No accident,No promotion,product_mng,medium,Yes
0.83,0.95,5,230,5,No accident,No promotion,IT,medium,Yes
0.83,0.94,5,273,5,No accident,No promotion,RandD,medium,Yes
0.41,0.51,2,144,3,No accident,No promotion,RandD,low,Yes
0.11,0.93,7,296,4,No accident,No promotion,RandD,low,Yes
0.68,0.62,5,198,5,Accident,No promotion,RandD,low,Yes
0.43,0.53,2,157,3,No accident,No promotion,RandD,low,Yes
0.44,0.51,2,145,3,No accident,No promotion,marketing,low,Yes
0.87,0.94,5,219,5,No accident,No promotion,marketing,low,Yes
0.43,0.54,2,153,3,No accident,No promotion,sales,low,Yes
0.89,0.48,3,178,5,No accident,No promotion,accounting,low,Yes
0.83,0.88,5,239,5,No accident,No promotion,support,low,Yes
0.11,0.87,6,278,5,No accident,No promotion,technical,low,Yes
0.85,1,6,260,3,Accident,No promotion,management,low,Yes
0.89,0.97,4,264,5,No accident,No promotion,marketing,low,Yes
0.09,0.92,7,301,4,No accident,No promotion,marketing,low,Yes
0.43,0.55,4,134,3,No accident,No promotion,marketing,low,Yes
0.42,0.46,2,147,3,No accident,No promotion,sales,low,Yes
0.43,0.54,2,130,3,No accident,No promotion,sales,low,Yes
0.1,0.93,6,307,4,No accident,No promotion,sales,low,Yes
0.37,0.46,2,156,3,No accident,No promotion,sales,low,Yes
0.76,0.98,4,237,5,No accident,No promotion,sales,low,Yes
0.88,0.89,4,254,5,No accident,No promotion,sales,low,Yes
0.39,0.48,2,151,3,No accident,No promotion,sales,low,Yes
0.45,0.54,2,131,3,No accident,No promotion,sales,medium,Yes
0.91,0.95,5,241,5,No accident,No promotion,sales,medium,Yes
0.86,0.85,5,267,5,No accident,No promotion,sales,medium,Yes
0.39,0.53,2,153,3,No accident,No promotion,sales,medium,Yes
0.89,1,4,217,5,No accident,No promotion,sales,medium,Yes
0.11,0.86,6,254,4,No accident,No promotion,sales,medium,Yes
0.1,0.87,6,265,5,No accident,No promotion,sales,medium,Yes
0.38,0.57,2,146,3,No accident,No promotion,sales,medium,Yes
0.4,0.54,2,156,3,No accident,No promotion,sales,medium,Yes
0.86,0.97,5,269,5,No accident,No promotion,sales,medium,Yes
0.1,0.86,6,288,4,No accident,No promotion,sales,medium,Yes
0.1,0.85,6,283,4,No accident,No promotion,sales,medium,Yes
0.42,0.5,2,128,3,No accident,No promotion,accounting,high,Yes
0.36,0.46,2,130,3,No accident,No promotion,accounting,low,Yes
0.39,0.48,2,127,3,No accident,No promotion,accounting,medium,Yes
0.43,0.47,2,137,3,No accident,No promotion,hr,medium,Yes
0.36,0.49,2,133,3,No accident,No promotion,hr,medium,Yes
0.09,0.91,6,275,4,No accident,No promotion,hr,medium,Yes
0.42,0.55,2,146,3,No accident,No promotion,hr,low,Yes
0.42,0.46,2,135,3,No accident,No promotion,technical,low,Yes
0.91,0.89,5,217,5,No accident,No promotion,technical,low,Yes
0.41,0.56,2,154,3,No accident,No promotion,technical,low,Yes
0.11,0.78,6,247,4,No accident,No promotion,technical,low,Yes
0.09,0.83,6,295,5,No accident,No promotion,technical,low,Yes
0.83,1,5,224,5,No accident,No promotion,technical,low,Yes
0.11,0.78,6,281,4,No accident,No promotion,technical,low,Yes
0.1,0.93,7,258,4,No accident,No promotion,technical,low,Yes
0.42,0.55,2,150,3,No accident,No promotion,technical,low,Yes
0.1,0.97,7,282,4,No accident,No promotion,technical,low,Yes
0.38,0.51,2,138,3,No accident,No promotion,technical,low,Yes
0.77,0.98,4,238,6,No accident,No promotion,support,low,Yes
0.11,0.85,7,244,4,No accident,No promotion,support,low,Yes
0.87,0.97,5,250,6,No accident,No promotion,support,low,Yes
0.1,0.88,7,282,4,No accident,No promotion,support,low,Yes
0.1,0.89,7,253,4,No accident,No promotion,support,low,Yes
0.09,0.9,6,256,4,No accident,No promotion,support,low,Yes
0.84,0.85,5,260,5,No accident,No promotion,support,low,Yes
0.11,0.86,6,245,4,No accident,No promotion,support,low,Yes
0.81,0.97,5,230,5,No accident,No promotion,support,low,Yes
0.77,0.85,5,276,5,No accident,No promotion,support,medium,Yes
0.42,0.47,2,137,3,No accident,No promotion,support,medium,Yes
0.36,0.56,2,140,3,No accident,No promotion,technical,medium,Yes
0.81,0.83,5,269,6,No accident,No promotion,technical,medium,Yes
0.37,0.46,2,130,3,Accident,No promotion,technical,medium,Yes
0.1,0.96,6,264,4,No accident,No promotion,management,medium,Yes
0.14,0.55,6,175,5,No accident,No promotion,IT,medium,Yes
0.41,0.51,2,159,3,No accident,No promotion,IT,medium,Yes
0.44,0.55,2,128,3,No accident,Promotion,IT,medium,Yes
0.82,0.94,5,232,5,Accident,No promotion,IT,medium,Yes
0.67,0.54,3,166,5,No accident,No promotion,IT,medium,Yes
0.44,0.57,2,141,3,No accident,No promotion,product_mng,medium,Yes
0.42,0.54,2,143,3,No accident,No promotion,product_mng,high,Yes
0.84,0.83,4,239,5,No accident,No promotion,product_mng,low,Yes
0.86,1,4,232,5,No accident,No promotion,product_mng,medium,Yes
0.56,0.86,5,252,2,No accident,No promotion,IT,medium,Yes
0.09,0.93,6,255,4,No accident,No promotion,RandD,medium,Yes
0.1,0.81,7,270,4,No accident,No promotion,RandD,medium,Yes
0.39,0.54,2,149,3,No accident,No promotion,RandD,low,Yes
0.75,0.89,5,276,5,No accident,No promotion,RandD,low,Yes
0.43,0.55,2,159,3,No accident,No promotion,RandD,low,Yes
0.09,0.96,7,274,5,No accident,No promotion,marketing,low,Yes
0.83,0.94,4,264,5,No accident,No promotion,sales,low,Yes
0.59,1,3,156,4,No accident,No promotion,accounting,low,Yes
0.44,0.54,2,135,3,No accident,No promotion,support,low,Yes
0.38,0.49,2,128,3,No accident,No promotion,technical,low,Yes
0.76,0.98,5,242,5,No accident,No promotion,management,low,Yes
0.22,0.86,4,293,3,No accident,No promotion,marketing,low,Yes
0.4,0.46,2,141,3,No accident,No promotion,marketing,low,Yes
0.41,0.48,2,155,3,No accident,No promotion,marketing,low,Yes
0.38,0.51,2,141,3,No accident,No promotion,sales,low,Yes
0.45,0.68,4,212,4,Accident,No promotion,sales,low,Yes
0.39,0.56,2,160,3,No accident,No promotion,sales,low,Yes
0.45,0.47,2,150,3,No accident,No promotion,sales,low,Yes
0.42,0.53,2,132,3,Accident,No promotion,sales,low,Yes
0.1,0.87,6,248,4,No accident,No promotion,sales,low,Yes
0.78,0.96,5,272,5,No accident,No promotion,sales,low,Yes
0.39,0.56,2,160,3,No accident,No promotion,sales,low,Yes
0.1,0.87,7,299,4,No accident,No promotion,sales,low,Yes
0.1,0.8,6,292,4,No accident,No promotion,sales,medium,Yes
0.43,0.46,2,126,3,No accident,No promotion,sales,medium,Yes
0.38,0.45,2,132,3,No accident,No promotion,sales,medium,Yes
0.09,0.77,6,282,5,No accident,No promotion,sales,medium,Yes
0.39,0.53,2,141,3,No accident,No promotion,sales,medium,Yes
0.73,0.99,6,206,5,No accident,No promotion,sales,medium,Yes
0.38,0.49,2,140,3,No accident,No promotion,sales,medium,Yes
0.1,0.91,6,255,4,No accident,No promotion,sales,medium,Yes
0.41,0.54,2,133,3,No accident,No promotion,sales,medium,Yes
0.43,0.51,2,131,3,No accident,No promotion,sales,medium,Yes
0.79,0.96,4,257,5,No accident,No promotion,accounting,medium,Yes
0.1,0.81,6,269,4,No accident,No promotion,accounting,medium,Yes
0.11,0.97,6,254,4,No accident,No promotion,accounting,high,Yes
0.42,0.5,2,143,3,No accident,No promotion,hr,low,Yes
0.36,0.51,2,157,3,No accident,No promotion,hr,medium,Yes
0.63,0.93,5,163,3,No accident,No promotion,hr,medium,Yes
0.41,0.56,2,133,3,No accident,No promotion,hr,medium,Yes
0.36,0.46,2,157,3,No accident,No promotion,technical,medium,Yes
0.1,0.9,6,301,5,No accident,No promotion,technical,low,Yes
0.11,0.96,6,310,4,No accident,No promotion,technical,low,Yes
0.44,0.54,2,133,3,No accident,No promotion,technical,low,Yes
0.77,0.96,5,249,6,No accident,No promotion,technical,low,Yes
0.91,1,4,251,6,No accident,No promotion,technical,low,Yes
0.26,0.46,2,242,3,No accident,No promotion,technical,low,Yes
0.81,0.93,5,265,6,No accident,No promotion,technical,low,Yes
0.11,0.87,6,280,4,No accident,No promotion,technical,low,Yes
0.92,0.89,4,241,5,No accident,No promotion,technical,low,Yes
0.1,0.86,5,253,4,No accident,No promotion,technical,low,Yes
0.45,0.51,2,137,3,No accident,No promotion,support,low,Yes
0.11,0.94,6,266,4,No accident,No promotion,support,low,Yes
0.23,0.7,5,168,4,No accident,No promotion,support,low,Yes
0.86,0.95,4,270,5,No accident,No promotion,support,low,Yes
0.44,0.55,2,141,3,No accident,No promotion,support,low,Yes
0.41,0.56,2,133,3,No accident,No promotion,support,low,Yes
0.84,0.97,5,256,5,No accident,No promotion,support,low,Yes
0.42,0.52,2,160,3,No accident,No promotion,support,low,Yes
0.11,0.88,7,275,4,No accident,No promotion,support,low,Yes
0.38,0.46,2,160,3,No accident,No promotion,support,low,Yes
0.11,0.96,7,244,4,No accident,No promotion,support,low,Yes
0.1,0.83,6,271,4,No accident,No promotion,technical,medium,Yes
0.86,0.88,5,268,5,No accident,No promotion,technical,medium,Yes
0.91,1,4,253,5,Accident,No promotion,technical,medium,Yes
0.37,0.53,2,140,3,No accident,No promotion,management,medium,Yes
0.46,0.5,2,146,3,No accident,No promotion,IT,medium,Yes
0.1,0.89,6,259,5,No accident,No promotion,IT,medium,Yes
0.37,0.46,2,127,3,No accident,No promotion,IT,medium,Yes
0.4,0.48,2,161,3,No accident,No promotion,IT,medium,Yes
0.09,0.78,6,260,4,No accident,No promotion,IT,medium,Yes
0.11,0.89,6,272,4,No accident,No promotion,product_mng,medium,Yes
0.39,0.48,2,159,3,No accident,No promotion,product_mng,medium,Yes
0.89,0.96,4,219,6,No accident,No promotion,product_mng,medium,Yes
0.09,0.91,6,243,4,No accident,No promotion,product_mng,high,Yes
0.88,0.97,4,255,5,Accident,No promotion,IT,low,Yes
0.11,0.9,7,245,4,No accident,No promotion,RandD,medium,Yes
0.1,0.95,6,264,5,No accident,No promotion,RandD,medium,Yes
0.91,1,4,245,6,No accident,No promotion,RandD,medium,Yes
0.44,0.52,2,137,3,No accident,No promotion,RandD,medium,Yes
0.63,0.76,2,157,4,No accident,No promotion,RandD,low,Yes
0.1,0.87,7,247,4,No accident,No promotion,marketing,low,Yes
0.36,0.51,2,144,3,No accident,No promotion,sales,low,Yes
0.45,0.51,2,149,3,No accident,No promotion,accounting,low,Yes
0.73,1,5,253,6,No accident,No promotion,support,low,Yes
0.37,0.55,2,140,3,No accident,No promotion,technical,low,Yes
0.09,0.85,7,307,4,No accident,No promotion,management,low,Yes
0.41,0.71,3,205,4,No accident,No promotion,marketing,low,Yes
